day,barri,category,impact,description
2023-01-22,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Getafe (Jornada 18)
2023-01-25,Les Corts,Sporting Event,4,Copa Del Rey - FC Barcelona vs Real Sociedad (Cuartos de final)
2023-01-31,la Marina del Prat Vermell,Trade Show/Exhibition,4,ISE (Integrated Systems Europe) 2023 - Day 1
2023-02-01,la Marina del Prat Vermell,Trade Show/Exhibition,4,ISE (Integrated Systems Europe) 2023 - Day 2
2023-02-02,la Marina del Prat Vermell,Trade Show/Exhibition,4,ISE (Integrated Systems Europe) 2023 - Day 3
2023-02-03,la Marina del Prat Vermell,Trade Show/Exhibition,4,ISE (Integrated Systems Europe) 2023 - Day 4
2023-02-05,Les Corts,Sporting Event,4,La Liga - FC Barcelona vs Sevilla (Jornada 20)
2023-02-16,Les Corts,Sporting Event,3,UEFA Europa League - FC Barcelona vs Manchester United (Play-Offs)
2023-02-19,Diagonal Mar i el Front Marítim del Poblenou,Sporting Event,3,Mitja Marató de Barcelona 2023
2023-02-19,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Cádiz (Jornada 22)
2023-02-19,"Sant Pere, Santa Caterina i la Ribera",Sporting Event,3,Mitja Marató de Barcelona 2023
2023-02-19,el Poblenou,Sporting Event,3,Mitja Marató de Barcelona 2023
2023-02-19,la Barceloneta,Sporting Event,3,Mitja Marató de Barcelona 2023
2023-02-19,la Vila Olímpica del Poblenou,Sporting Event,3,Mitja Marató de Barcelona 2023
2023-02-27,la Marina del Prat Vermell,Trade Show/Exhibition,5,MWC Mobile World Congress 2023 - Day 1
2023-02-28,la Marina del Prat Vermell,Trade Show/Exhibition,5,MWC Mobile World Congress 2023 - Day 2
2023-03-01,la Marina del Prat Vermell,Trade Show/Exhibition,5,MWC Mobile World Congress 2023 - Day 3
2023-03-02,la Marina del Prat Vermell,Trade Show/Exhibition,5,MWC Mobile World Congress 2023 - Day 4
2023-03-05,Les Corts,Sporting Event,4,La Liga - FC Barcelona vs Valencia CF (Jornada 24)
2023-03-19,Baró de Viver,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Can Baró,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Can Peguera,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Canyelles,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Ciutat Meridiana,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Diagonal Mar i el Front Marítim del Poblenou,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Horta,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Hostafrancs,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Les Corts,Sporting Event,5,La Liga - FC Barcelona vs Real Madrid (Jornada 26)
2023-03-19,Montbau,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Navas,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Pedralbes,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Porta,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Provençals del Poblenou,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sant Andreu,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sant Antoni,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sant Genís dels Agudells,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sant Gervasi - Galvany,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sant Gervasi - la Bonanova,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sant Martí de Provençals,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,"Sant Pere, Santa Caterina i la Ribera",Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sants,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sants - Badal,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Sarrià,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Torre Baró,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Vallbona,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Vallcarca i els Penitents,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,"Vallvidrera, el Tibidabo i les Planes",Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Verdun,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,Vilapicina i la Torre Llobeta,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Baix Guinardó,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Barri Gòtic,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Besòs i el Maresme,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Bon Pastor,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Camp d'en Grassot i Gràcia Nova,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Camp de l'Arpa del Clot,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Carmel,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Clot,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Coll,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Congrés i els Indians,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Fort Pienc,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Guinardó,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Parc i la Llacuna del Poblenou,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Poble-sec,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Poblenou,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Putxet i el Farró,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Raval,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,el Turó de la Peira,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,l'Antiga Esquerra de l'Eixample,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Barceloneta,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Bordeta,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Clota,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Dreta de l'Eixample,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Font d'en Fargues,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Font de la Guatlla,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Guineueta,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Marina de Port,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Marina del Prat Vermell,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Maternitat i Sant Ramon,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Nova Esquerra de l'Eixample,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Prosperitat,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Sagrada Família,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Sagrera,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Salut,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Teixonera,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Trinitat Nova,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Trinitat Vella,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Vall d'Hebron,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Verneda i la Pau,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Vila Olímpica del Poblenou,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,la Vila de Gràcia,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,les Corts,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,les Roquetes,Sporting Event,3,Zurich Marató Barcelona 2023
2023-03-19,les Tres Torres,Sporting Event,3,Zurich Marató Barcelona 2023
2023-04-05,Les Corts,Sporting Event,5,"Copa Del Rey - FC Barcelona vs Real Madrid (Semifinal, Vuelta)"
2023-04-10,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Girona (Jornada 28)
2023-04-23,Baró de Viver,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Can Baró,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Can Peguera,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Canyelles,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Ciutat Meridiana,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Diagonal Mar i el Front Marítim del Poblenou,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Horta,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Hostafrancs,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Les Corts,Sporting Event,4,La Liga - FC Barcelona vs Atlético Madrid (Jornada 30)
2023-04-23,Montbau,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Navas,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Pedralbes,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Porta,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Provençals del Poblenou,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sant Andreu,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sant Antoni,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sant Genís dels Agudells,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sant Gervasi - Galvany,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sant Gervasi - la Bonanova,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sant Martí de Provençals,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,"Sant Pere, Santa Caterina i la Ribera",Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sants,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sants - Badal,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Sarrià,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Torre Baró,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Vallbona,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Vallcarca i els Penitents,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,"Vallvidrera, el Tibidabo i les Planes",Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Verdun,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,Vilapicina i la Torre Llobeta,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Baix Guinardó,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Barri Gòtic,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Besòs i el Maresme,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Bon Pastor,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Camp d'en Grassot i Gràcia Nova,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Camp de l'Arpa del Clot,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Carmel,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Clot,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Coll,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Congrés i els Indians,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Fort Pienc,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Guinardó,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Parc i la Llacuna del Poblenou,Traditional Festival,5,Diada de Sant Jordi 2023
